Label,Message
spam,"Dear Air India Customer, flight 1Y287 from MAA shall be boarding from gate 25A. Boarding gate closes29 mins prior to the departure time."
info,Thank you for using your HDFC bank Debitcard ending 1464 for Rs. 1260.00 in Mysuru at Snapdeal on 2011-06-26 5:46
ham,drop off mary to john's home
spam,"Dear JET Airways Customer, flight 8U768 from ISK shall be boarding from gate 14G. Boarding gate closes5 mins prior to the departure time."
ham,wish nishu happy birthday
spam,"Dear INDIGO Customer, flight 2E831 from ATQ shall be boarding from gate 12P. Boarding gate closes3 mins prior to the departure time."
spam,"Greetings, Snapdeal wishes you a Happy Onam."
info,"Dear Guest, Thanks for choosing Ann 's Diner. Order ID 2886. Delivery by 2011-02-05 12:39. Enjoy 9% discount on your next purchase. Code MLT2EV. T&C."
ham,hey lets hv lunch together.
spam,"Dear Customer, You have made a Debit Card purchase of INR35.00 on 15 Mar. Info.IPS*GREEN NEST . Your Net Available Balance is INR 38,449.46."
spam,"Dear customer, We wish you a Merry Christmas. Thanks for being a Maha Veer Auto Agency customer."
info,"[Keens Steakhouse] Hi Drake, your reservation is confirmed for 20 people on 2015-02-16 at 20:14. We can hold your table for a maximum of 43 mins."
info,"* KSRTC m-Ticket *  from: CHITRADURGA to: COONUR PsngrName: Brandon TripCode: 827CHICOO PNR No.: J91278491 JnyDate: 2011-12-11 DepTime: 8:27  SeatNo.: 48, 32, 50, 54, 57  Class: Non-AC chair  BoardingPt: CHITRADURGA Rly Station Txn Password: 8477 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
spam,"Greetings, Aryan Auto Agency wishes you a Happy Onam."
info,"Thank you for choosing Meru for 2014-07-20 at 3:29. Cab:KA43N2224 , Chauffer: Kevin, Cell: 9652427344 will reach you. T&C apply, visit www.Meru.com"
ham,pay mortgage tomorrow
info,Bill dated 2011-04-19 for Rs 978 has been generated for your Jio fixedline/broadband relationship no. 41367851. The same will reach you by 2011-04-22. Due date: 2011-05-04.
info,Appointment with Dr Levi in SRIHARIKOTA on 2012-07-10 at 7:35 is confirmed. For queries call 1800 8236 7345. Your appt. might get delayed in case the doctor is attending an emergency.
spam,"Dear Customer, You have made a Debit Card purchase of INR147.00 on 15 Apr. Info.IPS*HYPERCITY R. Your Net Available Balance is INR 43,993.58."
info,Aryan Auto Agency : Service of your car KA16L3362 is due in 65 days on 2012-02-06. Please contact us at 9125288666 to book a service.
spam,Delivered: Your package with4M IA260166375 Auto Specialty Tyre Dresser (250 ml)was successfully delivered. More info at http://shopclues.com/cBfWh1e
ham,meeting is from 11am to 12 noon tomorrow
ham,Ha ha..thnx buddy
spam,"Dear Customer, You have made a Debit Card purchase of INR479.20 on 29 Mar. Info.IIN*I-Debit*Ama. Your Net Available Balance is INR 1,02,445.73."
info,"PNR:4628448886,TRAIN:23277,DOJ:2015-06-08,SL,BF-BTJ,Dep:9:52, Drew,S9 73 , Fare:4627,SC:10.0+PG+INS"
ham,birthday party on wed
info,"Dear Guest, Thanks for choosing Steiny's Pub. Order ID 2566. Delivery by 2010-05-20 11:26. Enjoy 14% discount on your next purchase. Code JQYQRS. T&C."
info,True Value : Service of your car KA15X7517 is due in 63 days on 2013-05-24. Please contact us at 9182877357 to book a service.
info,"Hi Customer, Booking ID: WW6D7WK. Seats: SILVER-L12,L13,L14,L15, 4 seat(s) for 10 Cloverfield Lane on 2010-04-06 8:41 at PVR: Arena Mahadevapura, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
info,The PNR for your Air India Flt 7D884 for BHU-BLR on 2014-02-15 at 17:35 hrs  is M14BJ6. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
spam,"Dear Customer, with reference to the Service request no. 69554370 on your Airtel Mobile, no action could be taken as the call/SMS reported by you was found to be of service/non-promotional in nature. If you are not satisfied with the resolution, contact 198 or Appellate to raise an appeal. For more details, visit www.airtel.in/mobile/prepaid/reach-airtel/mobile-customersupport/"
ham,What date you are coming to Goa?
info,"PNR:5114184441,TRAIN:24456,DOJ:2014-05-28,SL,BSAE-BVQ,Dep:12:40, Colin,S7 15 , Fare:7800,SC:10.0+PG+INS"
info,"Dear Guest, Thanks for choosing Eram Grand Hotel. Order ID 7857. Delivery by 2012-07-30 7:43. Enjoy 21% discount on your next purchase. Code W6HISC. T&C."
info,YourBus (KOLAR-Mangaluru 3:27) left  Goragunte Palya at 4:27 approx. It is running as per schedule.Track YourBus at http://goo.gl/R0m5jx
ham,"abhanshu, mary and tom will meet in ccd"
ham,Transportation assistance to a neighboring community. Will no after visiting with Jamila?
info,The PNR for your SPICE JET Flt 4N334 for HYD-VGA on 2015-06-16 at 2:26 hrs  is LCLHZZ. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
ham,remind me to see the doctor next month
spam,OTP is 263817 for the txn of INR 17881.00 at AMAZON SELLER SERVICES on your HDFC bank CREDIT card ending with 7433. Valid till 3:31:34. Do not share the OTP with anyone for security reasons
spam,Delivered: Your package withNetgear WN3000RP-20..was successfully delivered. More info at http://patm.com/cBfWh1e
ham,Hi..I have to talk to you about something urgent. When can I call you?
spam,Delivered: Your package withYour Money or Your Life: 9 Step...was successfully delivered. More info at http://jabong.com/cBfWh1e
ham,check the emails received before 4pm
spam,"EMI FREE-Cash""OD""upto-20Lac From""BAJAJ""only @RS-42 per DAY% &amp; % will charge only on uses amount&amp; PL bryanmarshall@outlook.com% with same day disbursal,cal@ 8658649477-DEEPAK"
info,"Dear Guest, Thanks for choosing Piccadilly Pub. Order ID 7667. Delivery by 2013-06-02 14:44. Enjoy 1% discount on your next purchase. Code L4XWK2. T&C."
info,The PNR for your AirAsia Flt 5H146 for LKO-TRZ on 2010-08-16 at 19:17 hrs  is RU5TUS. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
spam,Get benefits on multiple categories near you. Register all your cards on the OneAssist App http://bit.ly/29zWTvx and view exclusive benefits on your cards.
ham,i have an appointment with dr. shastri tomorrow evening
info,The PNR for your INDIGO Flt 1G123 for BUP-ISK on 2014-07-28 at 15:49 hrs  is O9U9PF. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
ham,call john between 5 and 7 on thursday evenings
info,"Thank you for choosing Ola for 2013-01-02 at 15:34. Cab:KA15V8853 , Chauffer: Landen, Cell: 9783525374 will reach you. T&C apply, visit www.Ola.com"
info,"Welcome to EMPIRE BK R.No. 515, 182, 175 Ch.In 2012-07-14 9:11 Ch.out 2012-08-09 12:00."
info,"[Yonah Shimmel 's Knish Bakery] Hi Isaac, your reservation is confirmed for 1 people on 2014-11-14 at 0:33. We can hold your table for a maximum of 17 mins."
info,The PNR for your JET Airways Flt 7D662 for LDA-BHJ on 2012-02-11 at 14:38 hrs  is HDBQ0L. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
info,"Thank you for choosing taxiforsure for 2015-02-10 at 2:30. Cab:KA54U6842 , Chauffer: Peyton, Cell: 9831674543 will reach you. T&C apply, visit www.taxiforsure.com"
info,Maha Veer Auto Agency : Service of your car KA63R5134 is due in 51 days on 2011-10-16. Please contact us at 9274282828 to book a service.
ham,meet john for weeks in march in london
ham,electricity bill deadline is 4th
spam,"Dear JET Airways Customer, flight 6Z263 from KTU shall be boarding from gate 2Y. Boarding gate closes29 mins prior to the departure time."
info,"Welcome to Prima Tower Revolving Restaurant R.No. 571, 315, 116 Ch.In 2012-12-03 4:12 Ch.out 2012-12-09 12:00."
ham,Evening@five past 5
spam,OTP is 355567 for the txn of INR 2479.00 at Uber on your SBI bank CREDIT card ending with 1322. Valid till 8:31:17. Do not share the OTP with anyone for security reasons
ham,Hey have you paid this month's money to our cook?
info,"[Pie Face] Hi Joshua, your reservation is confirmed for 7 people on 2009-09-24 at 16:27. We can hold your table for a maximum of 43 mins."
spam,OTP is 127118 for the txn of INR 13830.00 at Aryan Auto Agency on your HDFC bank CREDIT card ending with 1274. Valid till 20:19:29. Do not share the OTP with anyone for security reasons
info,"Dear Guest, Thanks for choosing Handel 's Homemade Ice Cream and Yogurt. Order ID 8473. Delivery by 2013-03-08 10:22. Enjoy 7% discount on your next purchase. Code LBPFBJ. T&C."
info,Bill dated 2011-04-28 for Rs 1122 has been generated for your Airtel fixedline/broadband relationship no. 83527458. The same will reach you by 2011-05-01. Due date: 2011-05-13.
info,Maha Veer Auto Agency : Service of your car KA58X5263 is due in 14 days on 2011-12-12. Please contact us at 9355717625 to book a service.
ham,Let's meet for 30 min every Fri at 6PM for the next three months
info,"Welcome to River mouth R.No. 145, 564, 113 Ch.In 2013-08-21 16:51 Ch.out 2013-09-13 12:00."
ham,"Hello Sir,I will be meeeting ur family tomorrow."
info,"Hi Customer, Booking ID: WOVZYZ9. Seats: PLATINUM-F7,F8,F9,F10,F11,F12, 6 seat(s) for Hacksaw Ridge on 2010-10-05 23:47 at Fun Cinemas: Sigma Mall, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
spam,Want to become a Gourmet Chef? Presenting BigBasket HappyChef. Now you can cook world class gourmet meals at home in minutes. Visit: http://goo.gl/w89anh
ham,Mahatma Gandhi Memorial Medical College
info,"* KSRTC m-Ticket *  from: SRIKALAHASTI to: Mangaluru PsngrName: Derrick TripCode: 1823SRIMan PNR No.: J94148548 JnyDate: 2011-02-14 DepTime: 18:23  SeatNo.: 52, 6  Class: AC Sleeper  BoardingPt: SRIKALAHASTI Residency Road Txn Password: 5574 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
spam,Delivered: Your package withNikon AF-S DX Nikkor 35mm f/1.9...was successfully delivered. More info at http://myantra.com/cBfWh1e
spam,"Rs.1178.56 was spent on ur HDFCBank CREDIT Card ending 7967 on 2015-10-24:17:45:49 at M K RETAIL COMPANY.Avl bal - Rs.84761.44, curr o/s - Rs.40238.56"
ham,Want to go to the movies next Tuesday?
ham,i will get the order on the 14th
ham,I guess I'll go too then
spam,"HBAC1, DHARMSHEELA, ORDER# TT437079973."
info,"Hi Customer, Booking ID: WEKK90A. Seats: GOLD-E1,E2,E3,E4, 4 seat(s) for Star Trek Beyond on 2009-10-27 13:11 at Cauvery Theatre: Sankey Road. Please carry your CC/DC card which was used for booking tickets."
info,Appointment with Dr Nathan in KOTTAYAM on 2013-04-21 at 0:10 is confirmed. For queries call 1800 6635 1446. Your appt. might get delayed in case the doctor is attending an emergency.
ham,i will be in london on 18th. meet john there
info,"Thank you for choosing Meru for 2010-03-24 at 7:20. Cab:KA27A8341 , Chauffer: Elias, Cell: 9713364438 will reach you. T&C apply, visit www.Meru.com"
ham,ok I will only call him and invite for the party :)
info,"PNR:8533528138,TRAIN:1155,DOJ:2009-11-27,FC,UMN-BTE,Dep:14:29, Aiden,F9 50 , Fare:9752,SC:10.0+PG+INS"
ham,In meeting. Urgent?
info,"Dear Guest, Thanks for choosing Big Daddy 's Restaurants. Order ID 2232. Delivery by 2012-10-27 10:51. Enjoy 9% discount on your next purchase. Code V1NVDS. T&C."
spam,"Dear AirAsia Customer, flight 8S183 from SXV shall be boarding from gate 5Z. Boarding gate closes18 mins prior to the departure time."
info,The PNR for your JET Airways Flt 5O665 for COK-IXM on 2012-11-12 at 6:20 hrs  is AU3NM3. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
spam,"Dear SPICE JET Customer, flight 1L314 from TRV shall be boarding from gate 15V. Boarding gate closes9 mins prior to the departure time."
spam,"Dear Customer, thank you for your interest in airtel postpaid. Kindly call our executive SATISHKUMAR - 9049454429 for document pickup"
info,"Thank you for choosing Meru for 2010-04-17 at 18:41. Cab:KA76B7516 , Chauffer: Gabriel, Cell: 9434472236 will reach you. T&C apply, visit www.Meru.com"
ham,i will be going to usa from 9th july to 21st july
info,"Dear Guest, Thanks for choosing Narmafzar Tower. Order ID 8444. Delivery by 2011-01-24 22:20. Enjoy 28% discount on your next purchase. Code JWRIIP. T&C."
ham,Remember that turn off the lights next Saturday
spam,OTP is 768525 for the txn of INR 16592.00 at Ebay on your HDFC bank CREDIT card ending with 8687. Valid till 9:19:28. Do not share the OTP with anyone for security reasons
info,Thank you for using your HDFC bank CREDITcard ending 4131 for Rs. 1896.00 in CHIKKAMAGALURU at AMAZON SELLER SERVICES on 2011-04-07 7:57
info,"* KSRTC m-Ticket *  from: PONDICHERRY to: Shirdi PsngrName: Wyatt TripCode: 1614PONShi PNR No.: J46383377 JnyDate: 2014-10-06 DepTime: 16:14  SeatNo.: 24, 11, 34, 3  Class: AC chair  BoardingPt: PONDICHERRY MG Road Txn Password: 7527 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
info,YourBus (Chennai-CHANNARAYAPATNA 5:30) left  Agara Flyover at 6:30 approx. It is running as per schedule.Track YourBus at http://goo.gl/R0m5jx
info,"Hi Customer, Booking ID: WM7DZBI. Seats: STANDARD-I4,I5,I6,I7,I8,I9, 6 seat(s) for Trolls on 2010-01-06 12:39 at The Cinema GT World: Magadi Rd, Bengaluru. Please carry your CC/DC card which was used for booking tickets."
ham,will let u know in a minute
ham,Dungeons & Dragons tonight at Ron's house starting at 7 p.m. until midnight
info,Bill dated 2014-01-17 for Rs 605 has been generated for your Aircel fixedline/broadband relationship no. 77883162. The same will reach you by 2014-01-20. Due date: 2014-02-01.
info,YourBus (Chennai-PUTTAPARTHI 11:56) left  Dairy Circle at 12:56 approx. It is running as per schedule.Track YourBus at http://goo.gl/R0m5jx
info,"[Garden Grill] Hi Johnny, your reservation is confirmed for 19 people on 2010-06-25 at 9:22. We can hold your table for a maximum of 6 mins."
info,Appointment with Dr Jaiden in AGUMBE on 2011-09-25 at 17:37 is confirmed. For queries call 1800 6347 5874. Your appt. might get delayed in case the doctor is attending an emergency.
spam,"Dear SPICE JET Customer, flight 8Z864 from JRH shall be boarding from gate 2P. Boarding gate closes23 mins prior to the departure time."
spam,Account notification: The password for your Google Account derekhughes565@gmail.com was recently changed. google.com/password
ham,call john on next 12th after 12:30 am
ham,meet from 12pm till evening
spam,OTP is 438575 for the txn of INR 1811.00 at Ola on your HDFC bank Debit card ending with 7477. Valid till 16:24:18. Do not share the OTP with anyone for security reasons
spam,"Dear customer, We wish you a Happy Holi. Thanks for being a ShopClues customer."
info,"* KSRTC m-Ticket *  from: SAGAR to: Kozhikode PsngrName: Elias TripCode: 1231SAGKoz PNR No.: J93099767 JnyDate: 2010-12-22 DepTime: 12:31  SeatNo.: 35, 36, 7, 40, 15, 16, 49, 50, 31  Class: AC chair  BoardingPt: SAGAR Residency Road Txn Password: 2257 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
ham,"Sounds good, how about 6pm?"
info,YourBus (NELLORE-SRIHARIKOTA 22:58) left  Bannerghatta Road at 23:58 approx. It is running as per schedule.Track YourBus at http://goo.gl/R0m5jx
ham,def. Where and when
spam,"Dear JET Airways Customer, flight 6U258 from BEP shall be boarding from gate 8Z. Boarding gate closes24 mins prior to the departure time."
spam,"Dear customer, We wish you a Happy Vasant Panchami. Thanks for being a Air India customer."
ham,Next wed..Sorry :P
info,Bill dated 2014-10-01 for Rs 931 has been generated for your Docomo fixedline/broadband relationship no. 71631344. The same will reach you by 2014-10-04. Due date: 2014-10-16.
info,"Thank you for choosing taxiforsure for 2010-08-11 at 11:31. Cab:KA47Y8865 , Chauffer: Trey, Cell: 9776488761 will reach you. T&C apply, visit www.taxiforsure.com"
spam,"Dear customer, We wish you a Merry Christmas. Thanks for being a YES Bank customer."
spam,"Dear JET Airways Customer, flight 1F543 from CCJ shall be boarding from gate 2I. Boarding gate closes9 mins prior to the departure time."
ham,oh yeah we can talk at 5pm. its about that one girl who really likes you
spam,Delivered: Your package withChina Maid Laundry bag for keeping your dirty cloths.was successfully delivered. More info at http://ebay.com/cBfWh1e
ham,okk done..c u there at 6pm
ham,meet mary in front of ccd in koramangala tmrw evening
info,Thank you for using your SBI bank Debitcard ending 2213 for Rs. 2223.00 in Dharmastala at Snapdeal on 2013-05-18 14:44
spam,"Dear Customer, acct XX5278 is credited with Rs.500.00 on 05-Mar-17 from anujkmishra@upi. UPI Ref no 978440286795"
ham,meeting on every friday afternoon from 2:00pm to 4:00pm
spam,"Dear customer, We wish you a Happy Muharram. Thanks for being a Uber customer."
ham,I heard that Aalamgeer & Aieeda are getting married next month.
ham,bring files to office
info,"* KSRTC m-Ticket *  from: NELLORE to: AGUMBE PsngrName: Julio TripCode: 452NELAGU PNR No.: J14805508 JnyDate: 2013-04-05 DepTime: 4:52  SeatNo.: 24, 17  Class: AC Sleeper  BoardingPt: NELLORE Bus Stand Road Txn Password: 6657 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
info,"Repair ref.no for your car is JC53218863 opened on 2015-01-15 15:39hrs,ETD of your car is 2015-01-16 13:52hrs and est.repair amt is Rs.2059 Rgds, Maha Veer Auto Agency"
spam,Delivered: Your package withSurf Excel Matic Front Load Deterge... and 2 other itemswas successfully delivered. More info at http://amazon.com/cBfWh1e
ham,art museum will be opened for public from 5th onwards for 10 days
info,YourBus (MANDYA-SAGAR 7:21) left  Bellandur at 8:21 approx. It is running as per schedule.Track YourBus at http://goo.gl/R0m5jx
info,"Hi Customer, Booking ID: W42JX2S. Seats: GOLD-B15,B16,B17,B18, 4 seat(s) for Moana on 2015-01-10 5:18 at Cinepolis: Royal Meenakshi Mall. Please carry your CC/DC card which was used for booking tickets."
info,"[S and M Cafe] Hi Andres, your reservation is confirmed for 11 people on 2014-04-24 at 10:44. We can hold your table for a maximum of 18 mins."
ham,Tom is coming during January
spam,Delivered: Your package withArtificial Intelligence: A Modern Approachwas successfully delivered. More info at http://flipkart.com/cBfWh1e
spam,"Greetings, INDIGO wishes you a Happy Gandhi Jayanti."
ham,Enquire in Bangalore
spam,Cheer out loud for India! Enjoy the nail biting match while we deliver dinner to you at flat 10% off. Use code INDIA. Order right away goo.gl/mWgvjP *T&C.
spam,"Dear Customer, Your Ac XXXXXXXX9978 is credited with INR20,000.00 on 18 Jul. Info.INF*983286389349*LOAN MIHIR. Your Net Available Balance is INR22,738.77."
info,"Thank you for choosing AirportTaxi for 2012-03-03 at 17:25. Cab:KA14G8433 , Chauffer: Jalen, Cell: 9746851124 will reach you. T&C apply, visit www.AirportTaxi.com"
ham,"Sorry sorry, Julie is not coming actually"
info,"Hi Customer, Booking ID: WWXYHVF. Seats: PLATINUM-K2,K3,K4,K5,K6,K7, 6 seat(s) for 10 Cloverfield Lane on 2009-08-24 5:22 at Cinepolis: Royal Meenakshi Mall. Please carry your CC/DC card which was used for booking tickets."
spam,"Dear customer, We wish you a Happy Independence day. Thanks for being a UCO Bank customer."
spam,Delivered: Your package with4m Long Super Strong Emergency Heavy Duty Car Tow Cable 3 T...was successfully delivered. More info at http://flipkart.com/cBfWh1e
spam,Love Cheese?Then use code KZCHZ & get BOGO on cheeseria(veg/paneer/chicken)at kaatizone.com.Free Home delivery for orders above Rs.250.Order now - kaatizone.com
info,YourBus (Pune-KOTTAYAM 14:51) left  Domlur Flyover at 15:51 approx. It is running as per schedule.Track YourBus at http://goo.gl/R0m5jx
spam,OTP is 838162 for the txn of INR 16570.00 at Air India on your SBI bank CREDIT card ending with 8655. Valid till 9:39:18. Do not share the OTP with anyone for security reasons
ham,Hey what time are we heading to SJ tomorrow?
ham,he will come at 6pm
info,"Repair ref.no for your car is JC85575118 opened on 2011-01-17 23:22hrs,ETD of your car is 2011-01-18 1:17hrs and est.repair amt is Rs.193 Rgds, Bimal Auto Agency"
info,"Repair ref.no for your car is JC42363556 opened on 2010-12-08 17:54hrs,ETD of your car is 2010-12-09 7:14hrs and est.repair amt is Rs.1168 Rgds, Hyundai Auto Agency"
ham,pick up john from school at 4 p.m
spam,"Dear AirAsia Customer, flight 4V247 from SUN shall be boarding from gate 11G. Boarding gate closes25 mins prior to the departure time."
spam,Delivered: Your package withThe Three Little Pigs (First Fav... and 1 other itemwas successfully delivered. More info at http://patm.com/cBfWh1e
ham,I have to check on Harry abt his well being after breakfast
ham,Lets plan a trip to goa.
ham,lets meet 2 days after 6
ham,i am meeting john in the office tomorrow
ham,meet mary before office
ham,Hey...Can u gimme a drop to Deepak's Place?
spam,"Dear SPICE JET Customer, flight 1I781 from DHM shall be boarding from gate 8G. Boarding gate closes18 mins prior to the departure time."
info,"Hi Customer, Booking ID: W0G4WLS. Seats: PLATINUM-G11, 1 seat(s) for Star Trek Beyond on 2013-12-31 1:15 at Gopalan Cinemas: Arcade Mall, Mysore Road. Please carry your CC/DC card which was used for booking tickets."
ham,i should meet the dentist @ sharp 6 in the evening
info,"Hi Customer, Booking ID: WOIU514. Seats: SILVER-N15,N16,N17,N18,N19, 5 seat(s) for X-Men: Apocalypse on 2012-08-08 4:16 at PVR: Orion Gold, Rajajinagar. Please carry your CC/DC card which was used for booking tickets."
info,Thank you for using your SBI bank Debitcard ending 3854 for Rs. 1665.00 in THIRUNALLAR at Askme on 2011-01-06 3:29
info,"Thank you for choosing Ola for 2010-04-16 at 8:23. Cab:KA32E5746 , Chauffer: Ryan, Cell: 9734258743 will reach you. T&C apply, visit www.Ola.com"
ham,pick up tuxedos Saturday
ham,Fashion Week at at 11
ham,meet john on every single day
ham,Okay now do not be a spoilsport. We can party after 7 PM..
info,"Dear Guest, Thanks for choosing Teppanyaki Steakhouse. Order ID 7463. Delivery by 2011-02-09 17:46. Enjoy 16% discount on your next purchase. Code PZYYVQ. T&C."
info,"* KSRTC m-Ticket *  from: KOLAR GOLD FIELD to: Dharmastala PsngrName: Joshua TripCode: 934KOLDha PNR No.: J56380079 JnyDate: 2013-01-01 DepTime: 9:34  SeatNo.: 4, 13, 15, 51, 52, 26  Class: Non-AC chair  BoardingPt: KOLAR GOLD FIELD Residency Road Txn Password: 5542 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
spam,"Greetings, ShopClues wishes you a Happy Republic Day."
ham,Can we attend Mr. Shastri's lecture on AlterEgo @ training room
spam,OTP is 872846 for the txn of INR 1991.00 at Ola on your HDFC bank Debit card ending with 4455. Valid till 2:22:32. Do not share the OTP with anyone for security reasons
info,YourBus (KOLAR-PUDUKOTAI 21:37) left  B T M Layout at 22:37 approx. It is running as per schedule.Track YourBus at http://goo.gl/R0m5jx
info,"* KSRTC m-Ticket *  from: Mumbai to: PONDICHERRY PsngrName: Mason TripCode: 111MumPON PNR No.: J69054076 JnyDate: 2011-11-22 DepTime: 1:11  SeatNo.: 41, 53  Class: AC chair  BoardingPt: Mumbai Bus Stand Road Txn Password: 1378 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
ham,go to the movie on Sunday
info,"Repair ref.no for your car is JC63214156 opened on 2015-02-08 16:10hrs,ETD of your car is 2015-02-09 22:50hrs and est.repair amt is Rs.2684 Rgds, Bimal Auto Agency"
ham,"can you pls bring my suit from dry clean today before 8p.m., bcz by the time I'll reach there it will get close"
ham,I didn't get IT return money
ham,"Ok den I?ll call up the theatre, and find out about tickets on Friday morning."
info,"* KSRTC m-Ticket *  from: PONDICHERRY to: TRICHY PsngrName: Oscar TripCode: 046PONTRI PNR No.: J93010120 JnyDate: 2010-07-04 DepTime: 0:46  SeatNo.: 8, 23, 25, 27, 30, 31  Class: AC Sleeper  BoardingPt: PONDICHERRY Bus Stand Road Txn Password: 3455 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
spam,Celebrate birthday parties at Papa John's. Packages @ Rs. 149* onward. Call us on 1800 3010 7272 to know more. *T&C Apply
ham,will meet for 48 hours
spam,"Greetings, Ebay wishes you a Happy Independence day."
info,Appointment with Dr Clayton in Puducherry on 2010-05-06 at 20:26 is confirmed. For queries call 1800 1752 3668. Your appt. might get delayed in case the doctor is attending an emergency.
info,YourBus (Shirdi-PALAKKAD 16:39) left  Agara Flyover at 17:39 approx. It is running as per schedule.Track YourBus at http://goo.gl/R0m5jx
